Résolution d'écran,Utilisateurs,pourcentage
1920x1080,1156,"15,67%"
1440x900,1126,"15,26%"
1366x768,1081,"14,65%"
1280x800,727,"9,85%"
360x640,411,"5,57%"
1536x864,326,"4,42%"
1680x1050,318,"4,31%"
375x667,288,"3,90%"
1280x720,270,"3,66%"
1600x900,224,"3,04%"
1280x1024,211,"2,86%"
320x568,186,"2,52%"
1920x1200,183,"2,48%"
2560x1440,154,"2,09%"
1024x768,134,"1,82%"
768x1024,115,"1,56%"
414x736,48,"0,65%"
375x812,38,"0,52%"
2048x1152,34,"0,46%"
412x732,31,"0,42%"
800x600,30,"0,41%"
320x534,19,"0,26%"
1360x768,19,"0,26%"
1344x840,17,"0,23%"
1368x912,16,"0,22%"
834x1112,14,"0,19%"
1280x960,14,"0,19%"
1024x1366,14,"0,19%"
640x480,13,"0,18%"
2000x2000,13,"0,18%"
1280x768,13,"0,18%"
360x740,11,"0,15%"
1093x615,11,"0,15%"
1600x1200,10,"0,14%"
320x570,9,"0,12%"
1536x960,9,"0,12%"
1440x960,8,"0,11%"
412x846,7,"0,09%"
1152x720,7,"0,09%"
640x360,6,"0,08%"
360x720,6,"0,08%"
3440x1440,6,"0,08%"
320x480,6,"0,08%"
1438x808,6,"0,08%"
1093x614,6,"0,08%"
1024x819,6,"0,08%"
800x1280,5,"0,07%"
360x592,5,"0,07%"
2560x1080,5,"0,07%"
1821x1024,5,"0,07%"
